ID	Inglés
211	\x42\x6f\x6e\x65\x73\x0\x72\x65\x66\x75\x73\x65\x0\x74\x6f\x0\x73\x65\x74\x74\x6c\x65\x2e
212	\x53\x70\x69\x72\x69\x74\x73\x0\x74\x77\x69\x73\x74\x0\x61\x6e\x64\x0\x63\x68\x75\x72\x6e\x0\x69\x6e\x74\x6f\x0\x62\x65\x61\x73\x74\x73\x2e\x2e\x2e
213	\x44\x65\x73\x74\x72\x6f\x79\x69\x6e\x67\x0\x61\x6c\x6c\x0\x69\x6e\x0\x74\x68\x65\x69\x72\x0\x70\x61\x74\x68\x2e\x2e\x2e
214	\x53\x65\x65\x6b\x69\x6e\x67\x0\x61\x6e\x0\x65\x6e\x64\x0\x74\x6f\x0\x74\x68\x65\x69\x72\x0\x73\x75\x66\x66\x65\x72\x69\x6e\x67\x2e
215	\x57\x65\x0\x70\x72\x61\x79\x0\x66\x6f\x72\x0\x6c\x6f\x76\x65\x2c\x0\x66\x6f\x72\x0\x73\x68\x65\x0\x69\x73\x0\x61\x6c\x6c\x0\x74\x68\x61\x74\x0\x73\x74\x61\x6e\x64\x73\x0\x62\x65\x66\x6f\x72\x65\x0\x61\x6e\x6e\x69\x68\x69\x6c\x61\x74\x69\x6f\x6e\x2e
216	\x53\x6f\x6d\x65\x74\x69\x6d\x65\x73\x0\x74\x68\x6f\x73\x65\x0\x74\x68\x61\x74\x0\x6c\x6f\x76\x65\x0\x61\x72\x65\x0\x73\x74\x61\x69\x6e\x65\x64\x0\x72\x65\x64\x2e
217	\x4b\x69\x73\x73\x65\x64\x0\x62\x79\x0\x74\x68\x6f\x73\x65\x0\x72\x61\x62\x69\x64\x0\x61\x6e\x64\x0\x65\x6e\x64\x6c\x65\x73\x73\x0\x66\x61\x6e\x67\x73\x2e
218	\x54\x68\x65\x79\x0\x61\x72\x65\x0\x63\x68\x61\x6e\x67\x65\x64\x0\x77\x6f\x6e\x64\x72\x6f\x75\x73\x0\x62\x79\x0\x74\x68\x65\x69\x72\x0\x70\x61\x73\x73\x69\x6f\x6e\x2e
219	\x4d\x6f\x6c\x64\x65\x64\x0\x62\x79\x0\x74\x68\x65\x69\x72\x0\x73\x75\x70\x65\x72\x6e\x61\x74\x75\x72\x61\x6c\x0\x64\x65\x76\x6f\x74\x69\x6f\x6e\x2e
220	\x47\x69\x66\x74\x65\x64\x0\x77\x69\x74\x68\x0\x6f\x74\x68\x65\x72\x77\x6f\x72\x6c\x64\x6c\x79\x0\x70\x6f\x77\x65\x72\x2e
221	\x54\x68\x65\x73\x65\x0\x66\x6f\x6c\x6b\x0\x61\x72\x65\x0\x74\x68\x65\x0\x73\x69\x72\x65\x6e\x73\x0\x61\x6d\x6f\x6e\x67\x73\x74\x0\x74\x68\x65\x0\x74\x77\x69\x6c\x69\x67\x68\x74\x0\x73\x65\x61\x2e
222	\x54\x68\x65\x0\x6f\x6e\x6c\x79\x0\x68\x6f\x70\x65\x0\x66\x6f\x72\x0\x61\x0\x73\x70\x69\x72\x69\x74\x0\x74\x6f\x0\x63\x6c\x6f\x73\x65\x0\x69\x74\x73\x0\x65\x79\x65\x73\x2e
223	\x53\x6f\x6e\x67\x62\x69\x72\x64\x73\x2e
224	\x57\x68\x61\x74\x0\x64\x6f\x65\x73\x0\x69\x74\x0\x66\x65\x65\x6c\x0\x74\x6f\x0\x77\x61\x6b\x65\x0\x75\x70\x0\x73\x75\x72\x72\x6f\x75\x6e\x64\x65\x64\x0\x62\x79\x0\x61\x0\x73\x65\x61\x0\x6f\x66\x0\x63\x6f\x72\x70\x73\x65\x73\x3f
225	\x57\x68\x6f\x27\x73\x0\x74\x68\x65\x72\x65\x3f\x21
226	\x46\x72\x69\x65\x6e\x64\x73\x2e\x2e\x2e
227	\x46\x61\x6d\x69\x6c\x79\x2e\x2e\x2e
228	\x46\x6f\x6f\x6c\x73\x2e\x2e\x2e
229	\x41\x6c\x6c\x0\x72\x65\x64\x75\x63\x65\x64\x0\x74\x6f\x0\x6d\x69\x6e\x63\x65\x64\x0\x66\x6c\x65\x73\x68\x2c\x0\x62\x75\x74\x0\x75\x6e\x61\x62\x6c\x65\x0\x74\x6f\x0\x64\x69\x65\x2e\x2e\x2e
230	\x49\x73\x0\x74\x68\x69\x73\x0\x4a\x69\x67\x6f\x6b\x75\x3f\x2e\x2e\x2e
231	\x49\x0\x64\x6f\x6e\x27\x74\x0\x66\x65\x61\x72\x0\x79\x6f\x75\x0\x64\x65\x6d\x6f\x6e\x21
232	\x49\x66\x0\x66\x6f\x72\x0\x6d\x79\x0\x6b\x61\x72\x6d\x61\x2c\x0\x6d\x79\x0\x64\x65\x73\x74\x69\x6e\x79\x0\x69\x73\x0\x74\x6f\x0\x6c\x69\x76\x65\x0\x69\x6e\x0\x41\x72\x62\x75\x64\x61\x2e\x2e\x2e
233	\x53\x6f\x0\x69\x74\x27\x6c\x6c\x0\x62\x65\x21
234	\x59\x6f\x75\x0\x66\x6f\x6f\x6c\x2e\x2e\x2e
235	\x44\x65\x61\x74\x68\x0\x69\x73\x0\x6c\x6f\x6e\x67\x0\x66\x6f\x72\x67\x6f\x74\x74\x65\x6e\x2e
236	\x41\x6e\x64\x0\x49\x27\x76\x65\x0\x62\x65\x65\x6e\x0\x73\x65\x61\x72\x63\x68\x69\x6e\x67\x0\x66\x6f\x72\x0\x79\x6f\x75\x2e\x2e\x2e
237	\x52\x69\x6e\x2e\x2e\x2e
238	\x59\x6f\x75\x0\x6b\x6e\x6f\x77\x0\x6d\x65\x3f\x21
239	\x57\x68\x61\x74\x0\x64\x6f\x0\x79\x6f\x75\x0\x6b\x6e\x6f\x77\x0\x61\x62\x6f\x75\x74\x0\x6d\x65\x3f\x21
240	\x53\x6f\x6d\x65\x0\x73\x6f\x72\x74\x0\x6f\x66\x0\x66\x61\x74\x65\x0\x62\x72\x6f\x75\x67\x68\x74\x0\x6d\x65\x0\x74\x6f\x0\x79\x6f\x75\x2e
241	\x44\x6f\x0\x6e\x6f\x74\x0\x64\x69\x73\x73\x61\x70\x6f\x69\x6e\x74\x0\x6d\x65\x2e
242	\x4e\x6f\x77\x2e\x2e\x2e
243	\x4c\x65\x74\x0\x6d\x65\x0\x72\x65\x61\x64\x0\x79\x6f\x75\x0\x77\x68\x61\x74\x0\x74\x68\x65\x0\x66\x75\x74\x75\x72\x65\x0\x64\x65\x70\x61\x72\x74\x73\x2e\x2e\x2e
244	\x64\x75\x6d\x6d\x79
245	\x64\x75\x6d\x6d\x79
246	\x64\x75\x6d\x6d\x79
247	\x64\x75\x6d\x6d\x79
248	\x64\x75\x6d\x6d\x79
249	\x64\x75\x6d\x6d\x79
250	\x64\x75\x6d\x6d\x79
251	\x64\x75\x6d\x6d\x79
252	\x64\x75\x6d\x6d\x79
253	\x64\x75\x6d\x6d\x79
254	\x64\x75\x6d\x6d\x79
255	\x64\x75\x6d\x6d\x79
256	\x64\x75\x6d\x6d\x79
257	\x64\x75\x6d\x6d\x79
258	\x64\x75\x6d\x6d\x79
259	\x64\x75\x6d\x6d\x79
260	\x64\x75\x6d\x6d\x79
261	\x64\x75\x6d\x6d\x79
262	\x64\x75\x6d\x6d\x79
263	\x64\x75\x6d\x6d\x79
264	\x64\x75\x6d\x6d\x79
265	\x64\x75\x6d\x6d\x79
266	\x64\x75\x6d\x6d\x79
267	\x64\x75\x6d\x6d\x79
268	\x64\x75\x6d\x6d\x79
269	\x64\x75\x6d\x6d\x79
270	\x64\x75\x6d\x6d\x79
271	\x64\x75\x6d\x6d\x79
272	\x64\x75\x6d\x6d\x79
273	\x64\x75\x6d\x6d\x79
274	\x64\x75\x6d\x6d\x79
275	\x64\x75\x6d\x6d\x79
276	\x64\x75\x6d\x6d\x79
277	\x64\x75\x6d\x6d\x79
278	\x64\x75\x6d\x6d\x79
279	\x64\x75\x6d\x6d\x79
280	\x64\x75\x6d\x6d\x79
281	\x64\x75\x6d\x6d\x79
282	\x64\x75\x6d\x6d\x79
283	\x64\x75\x6d\x6d\x79
284	\x64\x75\x6d\x6d\x79
285	\x64\x75\x6d\x6d\x79
286	\x64\x75\x6d\x6d\x79
287	\x64\x75\x6d\x6d\x79
288	\x64\x75\x6d\x6d\x79
289	\x64\x75\x6d\x6d\x79
290	\x64\x75\x6d\x6d\x79
291	\x64\x75\x6d\x6d\x79
292	\x64\x75\x6d\x6d\x79
293	\x64\x75\x6d\x6d\x79
294	\x64\x75\x6d\x6d\x79
295	\x64\x75\x6d\x6d\x79
296	\x64\x75\x6d\x6d\x79
297	\x64\x75\x6d\x6d\x79
298	\x64\x75\x6d\x6d\x79
299	\x64\x75\x6d\x6d\x79
300	\x64\x75\x6d\x6d\x79
301	\x64\x75\x6d\x6d\x79
302	\x64\x75\x6d\x6d\x79
303	\x64\x75\x6d\x6d\x79
304	\x64\x75\x6d\x6d\x79
305	\x64\x75\x6d\x6d\x79
306	\x64\x75\x6d\x6d\x79
307	\x64\x75\x6d\x6d\x79
308	\x64\x75\x6d\x6d\x79
309	\x64\x75\x6d\x6d\x79
310	\x64\x75\x6d\x6d\x79
311	\x64\x75\x6d\x6d\x79
312	\x64\x75\x6d\x6d\x79
313	\x64\x75\x6d\x6d\x79
314	\x64\x75\x6d\x6d\x79
315	\x64\x75\x6d\x6d\x79
316	\x64\x75\x6d\x6d\x79
317	\x64\x75\x6d\x6d\x79
318	\x64\x75\x6d\x6d\x79
319	\x64\x75\x6d\x6d\x79
320	\x64\x75\x6d\x6d\x79
321	\x64\x75\x6d\x6d\x79
322	\x64\x75\x6d\x6d\x79
323	\x64\x75\x6d\x6d\x79
324	\x64\x75\x6d\x6d\x79
325	\x64\x75\x6d\x6d\x79
326	\x64\x75\x6d\x6d\x79
327	\x64\x75\x6d\x6d\x79
328	\x64\x75\x6d\x6d\x79
329	\x64\x75\x6d\x6d\x79
330	\x64\x75\x6d\x6d\x79
331	\x64\x75\x6d\x6d\x79
332	\x64\x75\x6d\x6d\x79
333	\x64\x75\x6d\x6d\x79
334	\x64\x75\x6d\x6d\x79
335	\x64\x75\x6d\x6d\x79
336	\x64\x75\x6d\x6d\x79
337	\x64\x75\x6d\x6d\x79
338	\x64\x75\x6d\x6d\x79
339	\x64\x75\x6d\x6d\x79
340	\x64\x75\x6d\x6d\x79
341	\x64\x75\x6d\x6d\x79
342	\x64\x75\x6d\x6d\x79
343	\x64\x75\x6d\x6d\x79
344	\x64\x75\x6d\x6d\x79
345	\x64\x75\x6d\x6d\x79
346	\x64\x75\x6d\x6d\x79
347	\x64\x75\x6d\x6d\x79
348	\x64\x75\x6d\x6d\x79
349	\x64\x75\x6d\x6d\x79
350	\x64\x75\x6d\x6d\x79
351	\x64\x75\x6d\x6d\x79
352	\x64\x75\x6d\x6d\x79
353	\x64\x75\x6d\x6d\x79
354	\x64\x75\x6d\x6d\x79
355	\x64\x75\x6d\x6d\x79
800	\x52\x69\x6e
801	\x54\x61\x6b\x61\x68\x61\x73\x68\x69
802	\x52\x65\x64\x0\x4d\x61\x67\x65
803	\x4d\x61\x68\x6f\x75
804	
805	
806	
807	
808	
809	
810	\x41\x6c\x69\x6e\x61
811	\x45\x6e\x65\x73\x63\x75
812	\x53\x6f\x72\x63\x65\x72\x65\x72
813	\x4d\x6f\x6c\x64\x61\x76\x69\x61\x6e
814	
815	
816	
817	
818	
819	
820	\x49\x72\x69\x6e\x61
821	\x59\x61\x73\x68\x6e\x69\x6b\x6f\x76\x61
822	\x42\x6c\x61\x63\x6b\x0\x44\x6f\x67
823	\x50\x6c\x6f\x68\x61\x79\x61
824	
825	
826	
827	
828	
829	
830	\x45\x6e\x6b\x68\x6a\x61\x72\x67\x61\x6c
831	\x54\x73\x65\x72\x65\x6e
832	\x55\x6e\x73\x65\x65\x6c\x69\x65
833	\x47\x61\x6c\x6f\x75
834	
835	
836	
837	
838	
839	
840	\x4b\x69\x79\x6f\x6b\x6f
841	\x53\x75\x7a\x75\x6b\x69
842	\x57\x68\x69\x74\x65\x0\x4d\x61\x67\x65
843	
844	
845	
846	
847	
848	
849	
850	\x48\x61\x72\x75\x6b\x61
851	\x53\x61\x74\x6f
852	\x53\x6f\x6e\x67\x62\x69\x72\x64\x0\x4d\x61\x69\x64\x65\x6e
853	
854	
855	
856	
857	
858	
859	
860	\x53\x68\x69\x6e\x6a\x69\x72\x6f
861	\x59\x61\x6d\x61\x6d\x6f\x74\x6f
862	\x56\x6f\x6c\x66\x65\x0\x4b\x6e\x69\x67\x68\x74
863	
864	
865	
866	
867	
868	
869	
870	\x44\x61\x69\x63\x68\x69
871	\x49\x73\x68\x69\x6b\x61\x77\x61
872	\x4a\x69\x6e\x78
873	
874	
875	
876	
877	
878	
879	
880	\x41
881	
882	\x54\x69\x65\x66\x6c\x69\x6e\x67
883	\x4e\x61\x6e\x61\x73\x68\x69
884	
885	
886	
887	
888	
889	
890	\x45\x6c\x65\x61\x6e\x6f\x72
891	\x2d
892	\x45\x78\x70\x65\x72\x69\x6d\x65\x6e\x74\x0\x58\x30\x39
893	
894	
895	
896	
897	
898	
899	
900	\x56\x61\x6c\x65\x73\x73\x61
901	\x2d
902	\x50\x72\x69\x6e\x63\x65\x73\x73
903	\x52\x69\x63\x6b\x79
904	
905	
906	
907	
908	
909	
910	\x57\x65\x69
911	\x4c\x69
912	\x4e\x65\x63\x72\x6f\x6d\x61\x6e\x63\x65\x72
913	\x5a\x68\x6f\x6e\x67\x0\x4b\x75\x69
914	
915	
916	
917	
918	
919	
920	
921	
922	
923	
924	
925	
926	
927	
928	
929	
930	
931	
932	
933	
934	
935	
936	
937	
938	
939	
940	
941	
942	
943	
944	
945	
946	
947	
948	
949	
950	
951	
952	
953	
954	
955	
956	
957	
958	
959	
960	
961	
962	
963	
964	
965	
966	
967	
968	
969	
970	
971	
972	
973	
974	
975	
1000	\x43\x72\x61\x62\x62\x65\x72
1001	\x43\x72\x61\x62\x62\x65\x72
1002	\x43\x72\x61\x62\x62\x79
1003	\x43\x72\x61\x62\x62\x79
1004	\x45\x67\x67\x0\x4d\x65\x64\x69\x75\x6d
1005	\x45\x67\x67\x0\x4d\x65\x64\x69\x75\x6d
1006	\x55\x72\x63\x68\x69\x6e
1007	\x55\x72\x63\x68\x69\x6e
1008	\x48\x69\x67\x68\x0\x26\x0\x42\x61\x73\x73
1009	\x48\x69\x67\x68\x0\x26\x0\x42\x61\x73\x73
1010	\x4d\x61\x64\x6e\x65\x73\x73\x0\x42\x65\x61\x72\x65\x72
1011	\x4d\x61\x64\x6e\x65\x73\x73\x0\x42\x65\x61\x72\x65\x72
1012	\x53\x6d\x61\x6c\x6c\x0\x52\x69\x73\x6b
1013	\x43\x72\x61\x62\x0\x77\x69\x74\x68\x0\x61\x0\x67\x75\x6e
1014	\x43\x72\x61\x62\x62\x65\x72\x65\x72
1015	\x43\x72\x61\x62\x62\x65\x72\x65\x72
1016	\x53\x68\x61\x72\x70\x69\x65
1017	\x53\x68\x61\x72\x70\x69\x65
1018	\x4d\x61\x72\x6b\x65\x64\x0\x43\x72\x61\x62\x62\x65\x72
1019	\x4d\x61\x72\x6b\x65\x64\x0\x43\x72\x61\x62\x62\x65\x72
1020	\x50\x61\x6e\x69\x63\x0\x42\x65\x74\x72\x61\x79\x65\x72
1021	\x50\x61\x6e\x69\x63\x0\x42\x65\x74\x72\x61\x79\x65\x72
1022	\x42\x75\x72\x6e\x6f\x75\x74
1023	\x42\x75\x72\x6e\x6f\x75\x74
1024	\x4e\x6f\x78\x69\x6f\x75\x73\x0\x50\x75\x6e\x63\x68\x65\x72
1025	\x4e\x6f\x78\x69\x6f\x75\x73\x0\x50\x75\x6e\x63\x68\x65\x72
1026	\x4c\x69\x67\x68\x74\x6e\x69\x6e\x67\x0\x53\x6e\x61\x70
1027	\x4c\x69\x67\x68\x74\x6e\x69\x6e\x67\x0\x53\x6e\x61\x70
1028	\x43\x61\x72\x63\x69\x6e\x6f\x75\x73
1029	\x43\x61\x72\x63\x69\x6e\x6f\x75\x73
1030	\x48\x6f\x72\x73\x65
1031	\x48\x6f\x72\x73\x65
1032	\x41\x72\x6d\x6f\x72\x65\x64\x0\x48\x6f\x72\x73\x65
1033	\x41\x72\x6d\x6f\x72\x65\x64\x0\x48\x6f\x72\x73\x65
1034	\x43\x75\x6c\x74\x69\x73\x74\x0\x4e\x65\x6f\x70\x68\x79\x74\x65
1035	\x43\x75\x6c\x74\x69\x73\x74\x0\x4e\x65\x6f\x70\x68\x79\x74\x65
1036	\x43\x75\x6c\x74\x69\x73\x74\x0\x44\x69\x73\x63\x69\x70\x6c\x65
1037	\x43\x75\x6c\x74\x69\x73\x74\x0\x44\x69\x73\x63\x69\x70\x6c\x65
1038	\x43\x75\x6c\x74\x69\x73\x74\x0\x50\x72\x69\x65\x73\x74
1039	\x43\x75\x6c\x74\x69\x73\x74\x0\x50\x72\x69\x65\x73\x74
1040	\x43\x75\x6c\x74\x69\x73\x74\x0\x41\x6e\x69\x6d\x61\x74\x6f\x72
1041	\x43\x75\x6c\x74\x69\x73\x74\x0\x41\x6e\x69\x6d\x61\x74\x6f\x72
1042	\x43\x75\x6c\x74\x69\x73\x74\x0\x4d\x61\x73\x74\x65\x72
1043	\x43\x75\x6c\x74\x69\x73\x74\x0\x4d\x61\x73\x74\x65\x72
1044	\x4d\x61\x72\x6b\x65\x64\x0\x43\x72\x61\x62\x62\x65\x72\x65\x72
1045	\x4d\x61\x72\x6b\x65\x64\x0\x43\x72\x61\x62\x62\x65\x72\x65\x72
1046	\xc9\x76\x61\x72\x69\x73\x74\x65
1047	\x43\x75\x6c\x74\x69\x73\x74\x0\x74\x72\x61\x6e\x73\x66\x6f\x72\x6d\x65\x64
1048	\x64\x75\x6d\x6d\x79
1049	\x64\x75\x6d\x6d\x79
1050	\x64\x75\x6d\x6d\x79
1051	\x64\x75\x6d\x6d\x79
1052	\x64\x75\x6d\x6d\x79
1053	\x64\x75\x6d\x6d\x79
1054	\x64\x75\x6d\x6d\x79
1055	\x64\x75\x6d\x6d\x79
1056	\x64\x75\x6d\x6d\x79
1057	\x64\x75\x6d\x6d\x79
1058	\x64\x75\x6d\x6d\x79
1059	\x64\x75\x6d\x6d\x79
1060	\x64\x75\x6d\x6d\x79
1061	\x64\x75\x6d\x6d\x79
1062	\x64\x75\x6d\x6d\x79
1063	\x64\x75\x6d\x6d\x79
1064	\x64\x75\x6d\x6d\x79
1065	\x64\x75\x6d\x6d\x79
1066	\x64\x75\x6d\x6d\x79
1067	\x64\x75\x6d\x6d\x79
1068	\x64\x75\x6d\x6d\x79
1069	\x64\x75\x6d\x6d\x79
2000	\x52\x75\x73\x74\x79\x0\x4b\x61\x74\x61\x6e\x61
2001	\x41\x0\x72\x75\x73\x74\x79\x0\x6f\x6c\x64\x0\x6b\x61\x74\x61\x6e\x61\x2c\x0\x75\x73\x65\x64\x0\x62\x79\x0\x79\x6f\x75\x0\x6c\x6f\x6e\x67\x0\x61\x67\x6f\x2e\x0\x48\x61\x76\x65\x0\x73\x65\x65\x6e\x0\x62\x65\x74\x74\x65\x72\x0\x64\x61\x79\x73\x2c\x0\x62\x75\x74\x0\x73\x74\x69\x6c\x6c\x0\x61\x63\x63\x6f\x6d\x70\x6c\x69\x73\x68\x65\x73\x0\x69\x74\x27\x73\x0\x70\x75\x72\x70\x6f\x75\x73\x65\x2e
2002	\x4f\x6c\x64\x0\x57\x6f\x6f\x64\x65\x6e\x0\x48\x61\x6d\x6d\x65\x72
2003	\x41\x6e\x0\x6f\x6c\x64\x0\x77\x6f\x6f\x64\x65\x6e\x0\x68\x61\x6d\x6d\x65\x72\x2c\x0\x70\x65\x72\x68\x61\x70\x73\x0\x75\x73\x65\x64\x0\x74\x69\x6d\x65\x0\x61\x67\x6f\x0\x66\x6f\x72\x0\x6d\x61\x6b\x69\x6e\x67\x0\x6d\x6f\x63\x68\x69\x2c\x0\x68\x61\x72\x64\x0\x74\x6f\x0\x72\x65\x61\x6c\x6c\x79\x0\x6b\x6e\x6f\x77\x2e
2004	\x54\x72\x61\x69\x6e\x69\x6e\x67\x0\x53\x74\x61\x66\x66
2005	\x64\x75\x6d\x6d\x79
2006	\x4f\x75\x74\x77\x6f\x72\x6e\x0\x52\x65\x76\x6f\x6c\x76\x65\x72
2007	\x64\x75\x6d\x6d\x79
2008	\x42\x72\x6f\x6b\x65\x6e\x0\x46\x61\x6e\x73
2009	\x64\x75\x6d\x6d\x79
2010	\x46\x69\x73\x68\x69\x6e\x67\x0\x53\x70\x65\x61\x72
2011	\x64\x75\x6d\x6d\x79
2012	\x4f\x6c\x64\x0\x44\x61\x67\x67\x65\x72
2013	\x64\x75\x6d\x6d\x79
2014	\x4e\x75\x6e\x63\x68\x75\x6b\x73
2015	\x64\x75\x6d\x6d\x79
2016	\x4d\x75\x73\x6b\x65\x74
2017	\x64\x75\x6d\x6d\x79
2018	\x42\x6c\x75\x6e\x64\x65\x72\x62\x75\x73\x73
2019	\x64\x75\x6d\x6d\x79
2020	\x46\x6c\x69\x6e\x74\x0\x50\x69\x73\x74\x6f\x6c
2021	\x64\x75\x6d\x6d\x79
2022	\x48\x61\x6e\x64\x0\x43\x61\x6e\x6e\x6f\x6e
2023	\x64\x75\x6d\x6d\x79
2024	\x4b\x61\x74\x61\x6e\x61
2025	\x64\x75\x6d\x6d\x79
2026	\x4b\x75\x73\x61\x72\x69\x6b\x61\x6d\x61
2027	\x64\x75\x6d\x6d\x79
2028	\x43\x61\x65\x73\x74\x75\x73
2029	\x64\x75\x6d\x6d\x79
2030	\x42\x75\x74\x63\x68\x65\x72\x27\x73\x0\x48\x61\x6d\x6d\x65\x72
2031	\x64\x75\x6d\x6d\x79
2032	\x45\x65\x6c\x73\x27\x0\x53\x74\x61\x66\x66
2033	\x64\x75\x6d\x6d\x79
2034	\x64\x75\x6d\x6d\x79
2035	\x64\x75\x6d\x6d\x79
2036	\x64\x75\x6d\x6d\x79
2037	\x64\x75\x6d\x6d\x79
2038	\x64\x75\x6d\x6d\x79
2039	\x64\x75\x6d\x6d\x79
2040	\x64\x75\x6d\x6d\x79
2041	\x64\x75\x6d\x6d\x79
2042	\x64\x75\x6d\x6d\x79
2043	\x64\x75\x6d\x6d\x79
2044	\x64\x75\x6d\x6d\x79
2045	\x64\x75\x6d\x6d\x79
2200	\x44\x69\x72\x74\x79\x0\x43\x6c\x6f\x74\x68\x65\x73
2201	\x42\x61\x73\x69\x63\x0\x52\x69\x6e\x0\x41\x72\x6d\x6f\x72
2202	\x4f\x6c\x64\x0\x43\x61\x70\x65
2203	\x41\x6c\x69\x6e\x61\x0\x42\x61\x73\x69\x63\x0\x61\x72\x6d\x6f\x72
2204	\x53\x74\x61\x69\x6e\x65\x64\x0\x55\x6e\x69\x66\x6f\x72\x6d
2205	\x49\x72\x69\x6e\x61\x73\x0\x41\x72\x6d\x6f\x72
2206	\x54\x61\x74\x74\x65\x72\x65\x64\x0\x43\x6c\x6f\x74\x68\x69\x6e\x67
2207	\x45\x6e\x6b\x68\x6a\x61\x67\x61\x6c\x0\x61\x72\x6d\x6f\x72
2208	\x43\x65\x72\x65\x6d\x6f\x6e\x69\x61\x6c\x0\x52\x6f\x62\x65\x73
2209	\x4b\x69\x79\x6f\x6b\x6f\x0\x61\x72\x6d\x6f\x72
2210	\x54\x72\x61\x64\x69\x74\x69\x6f\x6e\x61\x6c\x0\x43\x6c\x6f\x74\x68\x65\x73
2211	\x48\x61\x72\x75\x6b\x61\x0\x61\x72\x6d\x6f\x72
2212	\x52\x75\x73\x74\x79\x0\x41\x72\x6d\x6f\x72
2213	\x53\x68\x69\x6e\x6a\x69\x72\x6f\x0\x61\x72\x6d\x6f\x72
2214	
2215	\x44\x61\x69\x63\x68\x69\x0\x61\x72\x6d\x6f\x72
2400	\x4c\x75\x78\x75\x72\x69\x6f\x75\x73\x0\x47\x65\x6d
2401	\x64\x75\x6d\x6d\x79
2402	\x64\x75\x6d\x6d\x79
2403	\x64\x75\x6d\x6d\x79
2404	\x64\x75\x6d\x6d\x79
2405	\x64\x75\x6d\x6d\x79
